supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha,error_type,titulo
Delimart,,Snacks Papas Clasicas Quento 92 Gr,2053.86,2416.30,0,,Ninguno,https://www.delimart.com.ar/snacks_papas_clasicas_quento_92_gr,,4105,2026-06-22,,
Carrefour,,Galletitas de avena y semilla Bulnez 175 grs,1307,1307,7468.57,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-de-avena-y-semilla-bulnez-175-grs-758859/p,,2788,2026-06-22,,
Carrefour,,Puré de tomate Salsati 520 g.,1265,1265,2432.69,1 K.,Ninguno,https://www.carrefour.com.ar/pure-de-tomate-salsati-520-g/p,,3020,2026-06-22,,
,,Aceite de girasol Cañuelas 900 cc.,,,,,,https://www.carrefour.com.ar/aceite-de-girasol-canuelas-900-cc/p,,2874,,no_disponible,Aceite de girasol Cañuelas 900 cc - Carrefour
Dia,Carne Picada de Nalga x 500 Gr.,Carne Picada de Nalga x 500 Gr.,13000.0,13000.0,,,,https://diaonline.supermercadosdia.com.ar/carne-picada-de-nalga-x-500-gr-225674/p,2026-06-22 19:00:53,2522,,,
,,,,,,,,https://www.delimart.com.ar/carne_molida_especial_aguma_aprox_1kg,,4264,,exception,"Message: timeout: Timed out receiving message from renderer: 13.654
  (Session info: chrome=149.0.7827.155)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7f90f3fa5+14925]
	chromedriver!GetHandleVerifier [0x7ff7f90f4000+14980]
	chromedriver!(No symbol) [0x7ff7f8c3793d]
	chromedriver!(No symbol) [0x7ff7f8c24449]
	chromedriver!(No symbol) [0x7ff7f8c24131]
	chromedriver!(No symbol) [0x7ff7f8c21e01]
	chromedriver!(No symbol) [0x7ff7f8c2273f]
	chromedriver!(No symbol) [0x7ff7f8c31e1a]
	chromedriver!(No symbol) [0x7ff7f8c48a77]
	chromedriver!(No symbol) [0x7ff7f8c5093a]
	chromedriver!(No symbol) [0x7ff7f8c22f01]
	chromedriver!(No symbol) [0x7ff7f8c487a5]
	chromedriver!(No symbol) [0x7ff7f8cdf71a]
	chromedriver!(No symbol) [0x7ff7f8c8401c]
	chromedriver!(No symbol) [0x7ff7f8c84f43]
	chromedriver!GetHandleVerifier [0x7ff7f96d7591+5f7f11]
	chromedriver!GetHandleVerifier [0x7ff7f96d1902+5f2282]
	chromedriver!GetHandleVerifier [0x7ff7f96f7115+617a95]
	chromedriver!GetHandleVerifier [0x7ff7f9111dce+3274e]
	chromedriver!GetHandleVerifier [0x7ff7f911a82c+3b1ac]
	chromedriver!GetHandleVerifier [0x7ff7f90fd744+1e0c4]
	chromedriver!GetHandleVerifier [0x7ff7f90fd8d4+1e254]
	chromedriver!GetHandleVerifier [0x7ff7f90e1447+1dc7]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
"
Carrefour,,Margarina en pan Margadan 200 g.,2035,2035,10175,1 K.,Ninguno,https://www.carrefour.com.ar/margarina-en-pan-margadan-200-g-726171/p,,2888,2026-06-22,,
,,Asado Novillito x kg.,,,,,,https://www.carrefour.com.ar/asado-novillito-x-kg-8186/p,,3239,,no_disponible,Carrefour
Delimart,,Desodorante Dove Roll On Original 50 Ml,3504.65,3504.65,0,,Ninguno,https://www.delimart.com.ar/desodorante_dove_roll_on_original_50_ml,,4328,2026-06-22,,
Carrefour,,Toallitas femeninas Siempre Libre Especial suave con alas 8 uni,2099,2099,262.38,1 U.,Ninguno,https://www.carrefour.com.ar/toallitas-femeninas-siempre-libre-especial-suave-con-alas-8-uni-723931/p,,3362,2026-06-22,,
