error_type,url,nombre,titulo,id_link_producto,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,producto_nombre,fecha_extraccion
no_disponible,https://www.carrefour.com.ar/galletitas-dulces-cereal-mix-sabor-cacao-150-grs-748630/p,Galletitas dulces Cereal Mix sabor cacao 150 grs,Carrefour,2773,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/gaseosa-cola-coca-cola-sabor-liviano-225-lts-159570/p,"Gaseosa cola Coca Cola sabor liviano 2,25 lts",Carrefour,3070,,,,,,,,,
,https://www.delimart.com.ar/acondicionador_crema_balance_190_ml,Acondicionador Crema Balance 190 Ml,,4320,3661.24,3661.24,0,,Ninguno,2026-06-13,Delimart,,
404,https://www.carrefour.com.ar/cerveza-rubia-imperial-ipa-473-ml-639588/p,,Carrefour - Las mejores ofertas en supermercados,3144,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/vino-tinto-malbec-tierra-del-fuego-750-cc/p,Vino tinto Malbec Tierra de Fuego 750 ml,Vino tinto Malbec Tierra de Fuego 750 ml - Carrefour,3169,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/fideos-tallarines-marolio-500-g-746925/p,Fideos tallarines Marolio 500 g.,Fideos tallarines Marolio 500 g - Carrefour,2862,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/galletitas-crackers-argentitas-3-x-102-g/p,Galletitas crackers Argentitas 3 x 102 g.,Carrefour,2826,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/nalga-entera-x-kg-678583/p,Nalga entera x kg.,Carrefour,3245,,,,,,,,,
,https://www.delimart.com.ar/limpiador_de_pisos_plastificados_y_flotantes_blem_almendras_dp_400_cc,Limpiador de Pisos Plastificados y Flotantes Blem Almendras Dp 400 Cc,,4375,5370.12,5370.12,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/leche-en-polvo-franciscana-pouch-800-g-715359/p,Leche en polvo Franciscana pouch 800 g.,Carrefour,2898,,,,,,,,,
,https://www.delimart.com.ar/alimento_para_perros_mix_carnes_y_verduras_adultos_keiko_3_kg,Alimento Para Perros Mix Carnes y Verduras Adultos Keiko 3 Kg,,4398,7644.83,7644.83,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/papas-fritas-pringles-de-crema-y-cebolla-109-g-730296/p,Papas fritas Pringles de crema y cebolla 109 g,Carrefour,3115,,,,,,,,,
exception,https://www.delimart.com.ar/cafe_instantaneo_tradicion_nescafe_x170_gr,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7ce92fd95+15395]
	chromedriver!GetHandleVerifier [0x7ff7ce92fdf0+153f0]
	chromedriver!(No symbol) [0x7ff7ce4678fd]
	chromedriver!(No symbol) [0x7ff7ce4c1479]
	chromedriver!(No symbol) [0x7ff7ce4c177c]
	chromedriver!(No symbol) [0x7ff7ce511ef7]
	chromedriver!(No symbol) [0x7ff7ce50eaeb]
	chromedriver!(No symbol) [0x7ff7ce4b3a58]
	chromedriver!(No symbol) [0x7ff7ce4b4953]
	chromedriver!GetHandleVerifier [0x7ff7ceef5511+5dab11]
	chromedriver!GetHandleVerifier [0x7ff7ceeef8fb+5d4efb]
	chromedriver!GetHandleVerifier [0x7ff7cef13205+5f8805]
	chromedriver!GetHandleVerifier [0x7ff7ce94cc6e+3226e]
	chromedriver!GetHandleVerifier [0x7ff7ce95562c+3ac2c]
	chromedriver!GetHandleVerifier [0x7ff7ce939984+1ef84]
	chromedriver!GetHandleVerifier [0x7ff7ce939b14+1f114]
	chromedriver!GetHandleVerifier [0x7ff7ce91ca77+2077]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
",4191,,,,,,,,,
404,https://www.carrefour.com.ar/carne-picada-novillo-x-kg-678596/p,,Carrefour - Las mejores ofertas en supermercados,3242,,,,,,,,,
,https://www.delimart.com.ar/detergente_ala_ultra_limon_300_ml,Detergente Ala Ultra Limon 300 Ml,,4357,2106.52,2106.52,0,,Ninguno,2026-06-13,Delimart,,
404,https://www.carrefour.com.ar/galletitas-banadas-de-chocolate-bridges-100-grs-753061/p,,Carrefour - Las mejores ofertas en supermercados,2800,,,,,,,,,
,https://www.delimart.com.ar/shampoo_suave_brilloceramidas_930_ml,Shampoo Suave Brillo/Ceramidas 930 Ml,,4313,4410.23,4410.23,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/rollo_de_cocina_elegante_3_rollos_x_50_panos_21_cm_x_187_cm_cu,"Rollo De Cocina Elegante 3 rollos x 50 Paños 21 Cm x 18,7 Cm c/u",,4390,2996.39,2996.39,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/desodorante_dove_roll_on_original_50_ml,Desodorante Dove Roll On Original 50 Ml,,4328,3504.65,3504.65,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/mortadela-calchaqui-piccola-300-g/p,Mortadela Calchaqui piccola 300 g.,Carrefour,3259,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/mortadela-mini-con-pistacho-300-grs-730186/p,Mortadela mini con pistacho 300 grs,Carrefour,3260,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/galletitas-frutigran-salvado-250-g/p,Galletitas Frutigran salvado 250 g.,Carrefour,2734,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/leche-en-polvo-santa-clara-fortificado-400-g-727232/p,Leche en polvo Santa clara fortificado 400 g.,Leche en polvo Santa clara fortificado 400 g. - Carrefour,2899,,,,,,,,,
,https://www.delimart.com.ar/choclo_en_grano_amarillo_bahia_x170g,Choclo en Grano Amarillo Bahia x170g,,4294,1643.94,1643.94,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/desodorante_de_ambiente_aerosol_glade_potpourri__360_ml,Desodorante de Ambiente Aerosol Glade Potpourri 360 Ml,,4383,3728.87,3728.87,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/jabon_liquido_avenaoats_protex_221_ml,Jabon Liquido Avena/Oats Protex 221 Ml,,4347,4603.95,4603.95,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/galletitas-dulces-bulnez-con-chips-50-grs-758854/p,Galletitas dulces Bulnez con chips 50 grs,Carrefour,2745,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/arroz-largo-fino-gallo-00000-en-bolsa-1-kg-718789/p,Arroz largo fino Gallo 00000 en bolsa 1 kg,Arroz largo fino Gallo 00000 en bolsa 1 kg - Carrefour,2851,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/harina-leudante-carrefour-classic-1-kg-776765/p,Harina leudante Carrefour Classic 1 kg,Harina leudante Carrefour Classic 1 kg Carrefour - Carrefour,2841,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/galletitas-dale-chocolate-rellenas-de-vainilla-115-g/p,Galletitas Dale chocolate rellenas de vainilla 115 g.,Galletitas Dale chocolate rellenas de vainilla 115 g. - Carrefour,2805,,,,,,,,,
404,https://www.carrefour.com.ar/dulce-de-leche-ilolay-clasico-400-g/p,,Carrefour,2953,,,,,,,,,
exception,https://www.delimart.com.ar/yerba_mate_suave_4f_union_500_gr,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7ce92fd95+15395]
	chromedriver!GetHandleVerifier [0x7ff7ce92fdf0+153f0]
	chromedriver!(No symbol) [0x7ff7ce4678fd]
	chromedriver!(No symbol) [0x7ff7ce4c1479]
	chromedriver!(No symbol) [0x7ff7ce4c177c]
	chromedriver!(No symbol) [0x7ff7ce511ef7]
	chromedriver!(No symbol) [0x7ff7ce50eaeb]
	chromedriver!(No symbol) [0x7ff7ce4b3a58]
	chromedriver!(No symbol) [0x7ff7ce4b4953]
	chromedriver!GetHandleVerifier [0x7ff7ceef5511+5dab11]
	chromedriver!GetHandleVerifier [0x7ff7ceeef8fb+5d4efb]
	chromedriver!GetHandleVerifier [0x7ff7cef13205+5f8805]
	chromedriver!GetHandleVerifier [0x7ff7ce94cc6e+3226e]
	chromedriver!GetHandleVerifier [0x7ff7ce95562c+3ac2c]
	chromedriver!GetHandleVerifier [0x7ff7ce939984+1ef84]
	chromedriver!GetHandleVerifier [0x7ff7ce939b14+1f114]
	chromedriver!GetHandleVerifier [0x7ff7ce91ca77+2077]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
",4211,,,,,,,,,
