supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,error_type,fecha,titulo
Delimart,,Lavandina Esencial Tradicional 1 Lt,1486.90,1486.90,0,,Ninguno,https://www.delimart.com.ar/lavandina_esencial_tradicional_1_lt,,4362,,2026-06-10,
Delimart,,Lavandina Sedille 2 L,2235.37,2235.37,0,,Ninguno,https://www.delimart.com.ar/lavandina_sedille_2_l,,4363,,2026-06-10,
Delimart,,Lavandina Heroe X1 LT Clasica,937.07,1102.43,0,,Ninguno,https://www.delimart.com.ar/lavandina_heroe_x1_lt_clasica,,4364,,2026-06-10,
Delimart,,Jabón Liquido Skip Para Diluir X500ml,11373.93,11373.93,0,,Ninguno,https://www.delimart.com.ar/jabon_liquido_skip_para_diluir_x500ml,,4365,,2026-06-10,
Delimart,,Jabon En Polvo Ala Eco Lavado 800 Gr,3851.97,3851.97,0,,Ninguno,https://www.delimart.com.ar/jabon_en_polvo_ala_eco_lavado_800_gr,,4366,,2026-06-10,
Delimart,,Jabón Líquido Baja Espuma Ala Eco Lavado D/P 800 Ml,3996.21,3996.21,0,,Ninguno,https://www.delimart.com.ar/jabon_liquido_baja_espuma_ala_eco_lavado_dp_800_ml,,4367,,2026-06-10,
Delimart,,Jabon Liquido Granby Fragancia Duradera de Rosas 3L,10380.06,10380.06,0,,Ninguno,https://www.delimart.com.ar/jabon_liquido_granby_fragancia_duradera_de_rosas_3l,,4369,,2026-06-10,
Delimart,,Jabon Liquido Ariel Limpieza Profunda Doy Pack x800 Ml,5324.51,5324.51,0,,Ninguno,https://www.delimart.com.ar/jabon_liquido_ariel_limpieza_profunda_doy_pack_x800_ml,,4368,,2026-06-10,
Delimart,,Suavizante Comfort Cuidado Intensivo Oleo de Argan 450 Ml,5329.84,5329.84,0,,Ninguno,https://www.delimart.com.ar/suavizante_comfort_cuidado_intensivo_oleo_de_argan_450_ml,,4371,,2026-06-10,
Delimart,,Suavizante para Ropa Vivere Explosion Floral X900 Ml,3797.60,3797.60,0,,Ninguno,https://www.delimart.com.ar/suavizante_para_ropa_vivere_explosion_floral_x900_ml,,4370,,2026-06-10,
Delimart,,Limpiador Líquido Pisos Procenex Desinfectante Original 900 Ml,3433.76,3433.76,0,,Ninguno,https://www.delimart.com.ar/limpiador_liquido_pisos_procenex_desinfectante_original_900_ml,,4373,,2026-06-10,
