nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,producto_nombre,fecha_extraccion,error_type,titulo
MAYO NATURA D/P 250X,1137.50,1137.50,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/ofertas/mayonesa-natura-doy-pack-x-250grs/,3499,,,,
Lomitos de Atún al Natural Dia 170 Gr.,3150.0,2350.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-al-natural-dia-170-gr-55812/p,2531,Lomitos de Atún al Natural Dia 170 Gr.,2026-06-24 18:57:33,,
Choclo en Bandeja 1 Un.,4590.0,4590.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/choclo-en-bandeja-1-un-90413/p,2561,Choclo en Bandeja 1 Un.,2026-06-24 18:57:37,,
"Galletitas Cachafaz avena, granola, almendras y maní 225 g.",4039,4039,17951.11,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/galletitas-cachafaz-avena-granola-almendras-y-mani-225-g/p,2691,,,,
Papas Fritas Crunch Jamon X90Gr,2663.18,2263.70,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/papas_fritas_crunch_jamon_x90gr,4100,,,,
CERVEZA ANTARES KOLCH LATA 473X,1865.05,1865.05,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-antares-kolch-lata-473x/,3583,,,,
Gelletitas clásicas Lincoln vainilla 153 g.,,,,,,,,https://www.carrefour.com.ar/galletitas-clasicas-lincoln-vainilla-153-g/p,2716,,,no_disponible,Carrefour
Mega Rollo De Cocina Dia 200 Paños 1 Ud.,2990.0,2990.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/mega-rollo-de-cocina-dia-200-panos-1-ud-278565/p,2643,Mega Rollo De Cocina Dia 200 Paños 1 Ud.,2026-06-24 18:58:44,,
Galletitas La Providencia Pack Familiar x5 505 G,2554.03,2554.03,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/galletitas_la_providencia_pack_familiar_x5_505_g,3846,,,,
"Caldo De Verdura Maggi 2x9,5 g",380.81,380.81,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/caldo_de_verdura_maggi_2x95_g,3997,,,,
HARINA BLANCAFLOR 000 1X,873.16,873.16,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/comestibles/hart-blancaflor-000-1x/,3452,,,,
